code,term
10394111000001104,Metronidazole 200mg tablets (Arrow Generics Ltd) (AMP)
10394511000001108,Metronidazole 400mg tablets (Arrow Generics Ltd) (AMP)
10690011000001102,Metronidazole 200mg tablets (Almus Pharmaceuticals Ltd) (AMP)
10690211000001107,Metronidazole 400mg tablets (Almus Pharmaceuticals Ltd) (AMP)
113911000001102,Metronidazole 200mg/5ml oral suspension (Kent Pharma (UK) Ltd) (AMP)
11599611000001102,Metronidazole 200mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd) (AMP)
12960811000001104,Metronidazole 100mg/5ml oral suspension (Special Order) (AMP)
12961911000001102,Metronidazole 100mg/5ml oral solution (Special Order) (AMP)
12962211000001104,Metronidazole 200mg/5ml oral solution (Special Order) (AMP)
12962511000001101,Metronidazole 50mg/5ml oral suspension (Special Order) (AMP)
12962811000001103,Metronidazole 50mg/5ml oral solution (Special Order) (AMP)
13007811000001103,Metronidazole 100mg/5ml oral solution (VMP)
13007911000001108,Metronidazole 100mg/5ml oral suspension (VMP)
13008011000001105,Metronidazole 200mg/5ml oral solution (VMP)
13008111000001106,Metronidazole 50mg/5ml oral solution (VMP)
13008211000001100,Metronidazole 50mg/5ml oral suspension (VMP)
14162711000001100,Metronidazole 200mg tablets (Healthcare Pharma Ltd) (AMP)
14162911000001103,Metronidazole 400mg tablets (Healthcare Pharma Ltd) (AMP)
15056611000001101,Metronidazole 1g suppositories (Sigma Pharmaceuticals Plc) (AMP)
15056811000001102,Metronidazole 500mg suppositories (Sigma Pharmaceuticals Plc) (AMP)
15110911000001108,Metronidazole 200mg tablets (Sigma Pharmaceuticals Plc) (AMP)
15111111000001104,Metronidazole 400mg tablets (Sigma Pharmaceuticals Plc) (AMP)
15111311000001102,Metronidazole 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17941711000001106,Metronidazole 200mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17941911000001108,Metronidazole 400mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
19193811000001101,Metronidazole 200mg tablets (Milpharm Ltd) (AMP)
19194011000001109,Metronidazole 400mg tablets (Milpharm Ltd) (AMP)
20189711000001106,Metronidazole 200mg tablets (Crescent Pharma Ltd) (AMP)
20189911000001108,Metronidazole 400mg tablets (Crescent Pharma Ltd) (AMP)
21309911000001106,Metronidazole 200mg/5ml oral suspension (Zentiva Pharma UK Ltd) (AMP)
21799811000001103,Metronidazole 200mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21800011000001101,Metronidazole 200mg tablets (Waymade Healthcare Plc) (AMP)
21800211000001106,Metronidazole 400mg tablets (Waymade Healthcare Plc) (AMP)
229911000001106,Metronidazole 400mg tablets (Accord-UK Ltd) (AMP)
239411000001100,Metronidazole 400mg tablets (Sun Pharma UK Ltd) (AMP)
24384411000001109,Metronidazole 200mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
24384611000001107,Metronidazole 200mg tablets (DE Pharmaceuticals) (AMP)
24384811000001106,Metronidazole 400mg tablets (DE Pharmaceuticals) (AMP)
24385011000001101,Metronidazole 500mg tablets (DE Pharmaceuticals) (AMP)
271811000001101,Metronidazole 200mg/5ml oral suspension (A A H Pharmaceuticals Ltd) (AMP)
272211000001109,Flagyl 400mg tablets (Purple Orchid Health Ltd) (AMP)
29920411000001102,Metronidazole 200mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
30830211000001107,Metronidazole 200mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
30830411000001106,Metronidazole 400mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
310211000001108,Metronidazole 500mg tablets (Accord-UK Ltd) (AMP)
32646011000001104,Metronidazole 500mg/5ml oral suspension (Special Order) (AMP)
32655011000001106,Metronidazole 500mg/5ml oral suspension (VMP)
329811000001105,Metronidazole 500mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
341811000001106,Metronidazole 200mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd) (AMP)
34605411000001101,Metronidazole 200mg suppositories (Special Order) (AMP)
34607211000001108,Metronidazole 200mg suppositories (VMP)
34612711000001100,Metronidazole 200mg tablets (Peckforton Pharmaceuticals Ltd) (AMP)
34745911000001108,Metronidazole 200mg/5ml oral suspension (Drugsrus Ltd) (AMP)
357811000001101,Metronidazole 200mg tablets (Teva UK Ltd) (AMP)
35843111000001101,Metronidazole 200mg tablets (Esteve Pharmaceuticals Ltd) (AMP)
36537511000001100,Metronidazole 500mg tablets (Zentiva Pharma UK Ltd) (AMP)
367011000001101,Metronidazole 200mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
37149811000001102,Metronidazole 200mg/5ml oral suspension (P.I.E. Pharma Ltd) (AMP)
37693211000001109,Metronidazole 200mg/5ml oral suspension (CST Pharma Ltd) (AMP)
37724411000001108,Metronidazole 200mg/5ml oral suspension (Pilsco Ltd) (AMP)
39042411000001105,Metronidazole 500mg tablets (Medihealth (Northern) Ltd) (AMP)
39045111000001107,Metronidazole 200mg tablets (Medihealth (Northern) Ltd) (AMP)
39045311000001109,Metronidazole 200mg/5ml oral suspension (Medihealth (Northern) Ltd) (AMP)
39045611000001104,Metronidazole 400mg tablets (Medihealth (Northern) Ltd) (AMP)
3910511000001105,Flagyl 1g suppositories (Purple Orchid Health Ltd) (AMP)
3910711000001100,Metrolyl 1g suppositories (Sandoz Ltd) (AMP)
3911211000001101,Metronidazole 1g suppositories (Alliance Healthcare (Distribution) Ltd) (AMP)
3911811000001100,Flagyl 500mg suppositories (Purple Orchid Health Ltd) (AMP)
39118311000001104,Metronidazole 200mg tablets (Genesis Pharmaceuticals Ltd) (AMP)
3912311000001100,Metrolyl 500mg suppositories (Sandoz Ltd) (AMP)
3912511000001106,Metronidazole 500mg suppositories (Alliance Healthcare (Distribution) Ltd) (AMP)
39503911000001102,Metronidazole 200mg tablets (Accord-UK Ltd) (AMP)
39809811000001105,Metronidazole 400mg tablets (Genesis Pharmaceuticals Ltd) (AMP)
40690111000001103,Metronidazole 200mg tablets (RX Farma) (AMP)
40690411000001108,Metronidazole 400mg tablets (RX Farma) (AMP)
40690711000001102,Metronidazole 500mg tablets (RX Farma) (AMP)
406911000001106,Metronidazole 400mg tablets (Kent Pharma (UK) Ltd) (AMP)
41098511000001107,Metronidazole 200mg tablets (Flamingo Pharma (UK) Ltd) (AMP)
41098711000001102,Metronidazole 400mg tablets (Flamingo Pharma (UK) Ltd) (AMP)
41168211000001100,Metronidazole 500mg tablets (Milpharm Ltd) (AMP)
41742911000001107,Metronidazole 25% oromucosal gel sugar free (VMP)
41802111000001104,Metronidazole 400mg tablets (Drugsrus Ltd) (AMP)
41802511000001108,Metronidazole 500mg tablets (Drugsrus Ltd) (AMP)
41806511000001109,Metronidazole 200mg tablets (Drugsrus Ltd) (AMP)
41951811000001100,Metronidazole 1g suppositories (VMP)
41951911000001105,Metronidazole 200mg tablets (VMP)
41952011000001103,Metronidazole 200mg/5ml oral suspension (VMP)
41952111000001102,Metronidazole 400mg tablets (VMP)
41952211000001108,Metronidazole 500mg suppositories (VMP)
41952311000001100,Metronidazole 500mg tablets (VMP)
42055511000001106,Metronidazole 200mg/5ml oral suspension (Morningside Healthcare Ltd) (AMP)
453711000001106,Flagyl-S 200mg/5ml oral suspension (Zentiva Pharma UK Ltd) (AMP)
461811000001105,Metronidazole 200mg tablets (Kent Pharma (UK) Ltd) (AMP)
471211000001101,Norzol 200mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd) (AMP)
494411000001108,Metronidazole 200mg tablets (Sun Pharma UK Ltd) (AMP)
4972711000001106,Elyzol 25% oromucosal gel (Colgate-Palmolive (UK) Ltd) (AMP)
585011000001109,Metronidazole 400mg tablets (Teva UK Ltd) (AMP)
650511000001105,Metronidazole 400mg tablets (The Boots Company Plc) (AMP)
657311000001103,Metronidazole 200mg tablets (A A H Pharmaceuticals Ltd) (AMP)
703011000001105,Metronidazole 200mg tablets (Actavis UK Ltd) (AMP)
723311000001103,Metronidazole 400mg tablets (Viatris UK Healthcare Ltd) (AMP)
727811000001101,Metronidazole 200mg tablets (IVAX Pharmaceuticals UK Ltd) (AMP)
776774005,Metronidazole (VTM)
780111000001103,Metronidazole 400mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
780211000001109,Metronidazole 500mg tablets (A A H Pharmaceuticals Ltd) (AMP)
786711000001104,Metronidazole 200mg tablets (Viatris UK Healthcare Ltd) (AMP)
791311000001105,Metronidazole 400mg tablets (A A H Pharmaceuticals Ltd) (AMP)
838811000001103,Flagyl 200mg tablets (Sanofi) (AMP)
882111000001102,Metronidazole 400mg tablets (IVAX Pharmaceuticals UK Ltd) (AMP)
8826911000001104,Metronidazole 200mg tablets (Sandoz Ltd) (AMP)
8827211000001105,Metronidazole 400mg tablets (Sandoz Ltd) (AMP)
